job_id	gpus	time_min	submit_ts	submit_human	label
2177995	1	30	1776890492	2026-04-22T15:41:32-05:00	afternoon
2177996	1	60	1776890492	2026-04-22T15:41:32-05:00	afternoon
2177997	1	120	1776890492	2026-04-22T15:41:32-05:00	afternoon
2177998	1	240	1776890492	2026-04-22T15:41:32-05:00	afternoon
2177999	2	30	1776890492	2026-04-22T15:41:32-05:00	afternoon
2178000	2	60	1776890492	2026-04-22T15:41:32-05:00	afternoon
2178001	2	120	1776890492	2026-04-22T15:41:32-05:00	afternoon
2178002	2	240	1776890492	2026-04-22T15:41:32-05:00	afternoon
2178003	4	30	1776890492	2026-04-22T15:41:32-05:00	afternoon
2178004	4	60	1776890492	2026-04-22T15:41:32-05:00	afternoon
2178005	4	120	1776890492	2026-04-22T15:41:32-05:00	afternoon
2178006	4	240	1776890492	2026-04-22T15:41:32-05:00	afternoon
