label,job_id,gpus,time_min,submit_ts,start_ts,wait_sec,state
afternoon,2177995,1,30,1776890492,1776892110,1618,COMPLETED
afternoon,2177996,1,60,1776890492,1776893976,3484,COMPLETED
afternoon,2177997,1,120,1776890492,,,PENDING
afternoon,2177998,1,240,1776890492,,,PENDING
afternoon,2177999,2,30,1776890492,1776892144,1652,COMPLETED
afternoon,2178000,2,60,1776890492,1776894009,3517,COMPLETED
afternoon,2178001,2,120,1776890492,,,PENDING
afternoon,2178002,2,240,1776890492,,,PENDING
afternoon,2178003,4,30,1776890492,1776892179,1687,COMPLETED
afternoon,2178004,4,60,1776890492,1776894043,3551,COMPLETED
afternoon,2178005,4,120,1776890492,,,PENDING
afternoon,2178006,4,240,1776890492,,,PENDING
